#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
1,175,13758,AB231893,GHNJ175,PLV,HIV-1,M,G,GHANA,2003,1,9632,9724,HIV-1
2,175,13758,AB287003,03GH175G,PLV,HIV-1,M,G,GHANA,2003,1,9632,9707,HIV-1
3,175,13758,AB287004,03GH175G,PLV,HIV-1,M,G,GHANA,2003,1,9632,9725,HIV-1
4,HH8793,10019,AB485662,HH8793,PLV,HIV-1,M,G,KENYA,1993,1,9683,9707,HIV-1
5,HH8793,10019,AB485663,HH8793,PLV,HIV-1,M,G,KENYA,1993,1,9683,9707,HIV-1
6,HH8793,10019,AF061640,HH8793_1_1,PLV,HIV-1,M,G,KENYA,1993,618,9643,9048,HIV-1
7,HH8793,10019,AF061641,HH8793_12_1,PLV,HIV-1,M,G,KENYA,1993,618,9643,9047,HIV-1
8,6165,675,AF061642,SE6165_G6165,PLV,HIV-1,M,G,SWEDEN,1993,618,9629,9074,HIV-1
9,BL,451,AF084936,DRCBL,PLV,HIV-1,M,G,BELGIUM,1996,38,9719,9707,HIV-1
10,X558,1383,AF423760,X558,PLV,HIV-1,M,G,SPAIN,2000,571,9486,8950,HIV-1
11,X138,27219,AF450098,X138,PLV,HIV-1,M,G,SPAIN,1999,571,9505,8978,HIV-1
12,4049,7859,AY371121,01CM_4049HAN,PLV,HIV-1,M,G,CAMEROON,2001,796,9190,8367,HIV-1
13,CU74,23972,AY586547,Cu74,PLV,HIV-1,M,G,CUBA,1999,407,9454,9098,HIV-1
14,CU85,14039,AY586548,Cu85,PLV,HIV-1,M,G,CUBA,1999,410,9495,9093,HIV-1
15,CU87,1901,AY586549,Cu87,PLV,HIV-1,M,G,CUBA,1999,411,9494,9185,HIV-1
16,PT2695,3584,AY612637,PT2695,PLV,HIV-1,M,G,PORTUGAL,,85,9606,9655,HIV-1
17,ABB55,23592,AY772535,96CMABB55,PLV,HIV-1,M,G,CAMEROON,1996,485,9531,9071,HIV-1
18,567,15497,DQ168573,PL0567,PLV,HIV-1,M,G,NIGERIA,2001,796,9603,8800,HIV-1
19,674,11534,DQ168575,01NGPL0674,PLV,HIV-1,M,G,NIGERIA,2001,796,9603,8884,HIV-1
