#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sample_year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
2,,,AB231895,GHNJ185,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9715,HIV-1
3,,,AB231896,GHNJ188,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9753,HIV-1
4,,,AB231898,GHNJ196,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9758,HIV-1
5,181,13761,AB286855,03GH181AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9724,HIV-1
6,181,13761,AB286856,03GH181AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9724,HIV-1
7,182,13764,AB286857,03GH182AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9692,HIV-1
8,182,13764,AB286858,03GH182AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9689,HIV-1
9,184,13762,AB286859,03GH184AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9668,HIV-1
10,184,13762,AB286860,03GH184AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9656,HIV-1
11,189,15846,AB286862,03GH189AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9741,HIV-1
12,197,13759,AB286863,03GH197AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9671,HIV-1
13,197,13759,AB286864,03GH197AG,PLV,HIV-1,M,CRF02_AG,GHANA,2003,1,9632,9620,HIV-1
14,I_2496,35093,AB485633,I_2496,PLV,HIV-1,M,CRF02_AG,GHANA,,1,9632,9633,HIV-1
15,DJ263,10004,AB485634,DJ263,PLV,HIV-1,M,CRF02_AG,FRANCE,,1,9632,9679,HIV-1
16,DJ263,10004,AB485635,DJ263,PLV,HIV-1,M,CRF02_AG,FRANCE,,1,9632,9637,HIV-1
17,POC44951,15369,AB485636,POC44951,PLV,HIV-1,M,CRF02_AG,LIBERIA,,1,9632,9633,HIV-1
18,POC44951,15369,AB485637,POC44951,PLV,HIV-1,M,CRF02_AG,LIBERIA,,1,9632,9633,HIV-1
19,DJ263,10004,AF063223,DJ263,PLV,HIV-1,M,CRF02_AG,FRANCE,1991,633,9605,9002,HIV-1
20,DJ264,7021,AF063224,DJ264,PLV,HIV-1,M,CRF02_AG,FRANCE,1991,632,9605,8961,HIV-1
21,SE7812,50805,AF107770,SE7812,PLV,HIV-1,M,CRF02_AG,SWEDEN,1994,626,9638,9063,HIV-1
22,CM52885,1176,AF377954,CM52885,PLV,HIV-1,M,CRF02_AG,CAMEROON,1997,796,9603,8821,HIV-1
23,CM53658,1193,AF377955,CM53658,PLV,HIV-1,M,CRF02_AG,CAMEROON,1997,796,9558,8754,HIV-1
24,1211,7812,AJ251056,98SE_MP1211,PLV,HIV-1,M,CRF02_AG,SENEGAL,1998,788,9625,8851,HIV-1
25,1213,7811,AJ251057,98SE-MP1213,PLV,HIV-1,M,CRF02_AG,SENEGAL,1998,792,9616,8857,HIV-1
26,,,AY271690,pBD6_15,PLV,HIV-1,M,CRF02_AG,CAMEROON,1999,5,9689,9774,HIV-1
27,0002BBY,9919,AY371122,01CM_0002BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8428,HIV-1
28,0005BBY,9959,AY371123,01CM_0005BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8377,HIV-1
29,0008BBY,9958,AY371124,01CM_0008BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8416,HIV-1
30,0013BBY,7860,AY371125,02CM_0013BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8419,HIV-1
31,0014BBY,7861,AY371126,02CM_0014BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8443,HIV-1
32,0015BBY,7862,AY371127,02CM_0015BBY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8401,HIV-1
33,1970LE,7863,AY371128,02CM_1970LE,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8353,HIV-1
34,2162,7864,AY371129,02CM_2162SA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8440,HIV-1
35,2348SA,7865,AY371130,02CM_2348SA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8377,HIV-1
36,74,7866,AY371131,01CM_0074NY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8405,HIV-1
37,158,7867,AY371132,01CM_0158ND,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8386,HIV-1
38,0925MO,9950,AY371134,01CM_0925MO,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8363,HIV-1
39,1237NG,9932,AY371136,01CM_1237NG,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8377,HIV-1
40,131,7869,AY371137,01CM_0131NY,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8392,HIV-1
41,1475MV,9934,AY371138,01CM_1475MV,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8383,HIV-1
42,1669LE,7870,AY371139,02CM_1669LE,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8383,HIV-1
43,1677LE,7871,AY371140,02CM_1677LE,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8389,HIV-1
44,4082STN,9941,AY371141,02CM_4082STN,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8413,HIV-1
45,4410HAL,9955,AY371142,01CM_4410HAL,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9190,8435,HIV-1
46,1901LE,7894,AY371146,02CM_1901LE,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9190,8415,HIV-1
47,19_1134,13721,AY444809,99US_MSC1134,PLV,HIV-1,M,CRF02_AG,UNITED STATES,1999,796,9190,8362,HIV-1
48,21_3083,13723,AY444811,00US_MSC3083,PLV,HIV-1,M,CRF02_AG,UNITED STATES,2000,796,9190,8401,HIV-1
49,710,11536,DQ168577,PL0710,PLV,HIV-1,M,CRF02_AG,NIGERIA,2001,796,9603,8787,HIV-1
50,754,15569,DQ168578,PL0754,PLV,HIV-1,M,CRF02_AG,NIGERIA,2001,796,9603,8819,HIV-1
51,P1261,32946,EU786671,P1261,PLV,HIV-1,M,CRF02_AG,SPAIN,2006,560,9510,8972,HIV-1
52,P1423_ARP1081,32945,EU884501,P1423,PLV,HIV-1,M,CRF02_AG,SPAIN,2006,560,9507,8983,HIV-1
53,CY048,29313,FJ388902,CY048,PLV,HIV-1,M,CRF02_AG,CYPRUS,2005,790,8930,8146,HIV-1
54,,,FJ694791,CC_0030,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2004,631,9459,8884,HIV-1
55,,,FJ694792,CC_0048,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2005,639,9371,8765,HIV-1
56,,,GU201494,01CM_0018ND,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9540,8744,HIV-1
57,,,GU201495,01CM_0144ND,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9540,8827,HIV-1
58,,,GU201498,01CM_0119MA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9540,8728,HIV-1
59,,,GU201499,01CM_0126MA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9540,8858,HIV-1
60,,,GU201500,01CM_0186BA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2001,796,9540,8815,HIV-1
61,1970LE,7863,GU201511,02CM_1970LE,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9600,8782,HIV-1
62,,,GU201512,02CM_2172SA,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9600,8800,HIV-1
63,,,GU201513,02CM_3153MN,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9600,8776,HIV-1
64,,,GU201514,02CM_3217MN,PLV,HIV-1,M,CRF02_AG,CAMEROON,2002,796,9600,8852,HIV-1
65,502-2696,39594,JF320297,502_2696_FL01,PLV,HIV-1,M,CRF02_AG,UNITED STATES,2006,789,9496,8706,HIV-1
66,CY206,40243,JF683758,CY206,PLV,HIV-1,M,CRF02_AG,CYPRUS,2007,790,8930,8126,HIV-1
67,CY240,40218,JF683786,CY240,PLV,HIV-1,M,CRF02_AG,CYPRUS,2008,790,8930,8150,HIV-1
68,CY247,40206,JF683792,CY247,PLV,HIV-1,M,CRF02_AG,CYPRUS,2009,790,8930,8173,HIV-1
69,CY252,40260,JF683795,CY252,PLV,HIV-1,M,CRF02_AG,CYPRUS,2009,790,8930,8180,HIV-1
70,CY256,40267,JF683799,CY256,PLV,HIV-1,M,CRF02_AG,CYPRUS,2009,790,8934,8128,HIV-1
71,CY265,40201,JF683806,CY265,PLV,HIV-1,M,CRF02_AG,CYPRUS,2009,790,8930,8156,HIV-1
72,SC11,44213,JN248580,06NG_SC11,PLV,HIV-1,M,CRF02_AG,NIGERIA,2006,794,9604,8812,HIV-1
